ts,step,loss,lr,tokens_per_sec,step_ms
1770824423.521041,1,4.241624,0.0003,1171.20,218.58
1770824423.669366,2,4.306327,0.0003,1729.74,148.00
1770824423.787087,3,4.256656,0.0003,2180.41,117.41
1770824423.914183,4,4.258169,0.0003,2018.96,126.80
1770824424.041906,5,4.283909,0.0003,2009.75,127.38
1770824424.163556,6,4.293674,0.0003,2109.65,121.35
1770824424.287196,7,4.252997,0.0003,2075.70,123.33
1770824424.407946,8,4.281303,0.0003,2126.76,120.37
1770824424.527079,9,4.241302,0.0003,2154.55,118.82
1770824424.650797,10,4.299884,0.0003,2075.31,123.35
1770824424.773452,11,4.286923,0.0003,2093.33,122.29
1770824424.898005,12,4.361638,0.0003,2061.04,124.21
1770824425.019364,13,4.291794,0.0003,2115.26,121.03
1770824425.142817,14,4.245525,0.0003,2078.74,123.15
1770824425.275355,15,4.238484,0.0003,1937.25,132.15
1770824425.397268,16,4.269074,0.0003,2106.37,121.54
1770824425.524088,17,4.269321,0.0003,2024.16,126.47
1770824425.649080,18,4.233466,0.0003,2055.14,124.57
1770824425.776194,19,4.241080,0.0003,2019.34,126.77
1770824425.901046,20,4.204796,0.0003,2055.70,124.53
1770824426.023719,21,4.219316,0.0003,2092.32,122.35
1770824426.150636,22,4.223715,0.0003,2023.00,126.54
1770824426.291460,23,4.292788,0.0003,1823.34,140.40
1770824426.417074,24,4.168503,0.0003,2045.64,125.14
1770824426.535558,25,4.207196,0.0003,2166.50,118.16
1770824426.658244,26,4.238364,0.0003,2091.86,122.38
1770824426.787670,27,4.267197,0.0003,1983.74,129.05
1770824426.910040,28,4.146859,0.0003,2098.48,121.99
1770824427.030456,29,4.194780,0.0003,2131.29,120.12
1770824427.152394,30,4.216877,0.0003,2104.88,121.62
1770824427.274533,31,4.132457,0.0003,2101.32,121.83
1770824427.398175,32,4.193216,0.0003,2076.31,123.30
1770824427.520232,33,4.188132,0.0003,2102.73,121.75
1770824427.645014,34,4.217538,0.0003,2056.54,124.48
1770824427.767683,35,4.177541,0.0003,2091.98,122.37
1770824427.886781,36,4.176366,0.0003,2155.08,118.79
1770824428.007917,37,4.176701,0.0003,2120.22,120.74
1770824428.129932,38,4.193503,0.0003,2103.10,121.73
1770824428.255087,39,4.185926,0.0003,2051.63,124.78
1770824428.407978,40,4.167843,0.0003,1678.77,152.49
1770824428.540842,41,4.145634,0.0003,1934.82,132.31
1770824428.666779,42,4.139524,0.0003,2038.02,125.61
1770824428.802150,43,4.163071,0.0003,1896.21,135.01
1770824428.949191,44,4.188220,0.0003,1745.69,146.65
1770824429.082365,45,4.216412,0.0003,1928.15,132.77
1770824429.209182,46,4.211499,0.0003,2026.18,126.35
1770824429.338510,47,4.173951,0.0003,1985.08,128.96
1770824429.462628,48,4.167083,0.0003,2067.83,123.80
1770824429.601246,49,4.159534,0.0003,1851.75,138.25
1770824429.723786,50,4.184950,0.0003,2094.04,122.25
1770824429.844942,51,4.168851,0.0003,2117.82,120.88
1770824429.962016,52,4.186893,0.0003,2192.08,116.78
