ts,step,loss,lr,tokens_per_sec,step_ms
1770824537.997744,1,4.241624,0.0003,1239.93,206.46
1770824538.138865,2,4.305268,0.0003,1818.31,140.79
1770824538.251213,3,4.253563,0.0003,2286.00,111.99
1770824538.365823,4,4.253168,0.0003,2240.01,114.28
1770824538.481160,5,4.276402,0.0003,2227.01,114.95
1770824538.595601,6,4.287008,0.0003,2242.43,114.16
1770824538.707653,7,4.250370,0.0003,2291.20,111.73
1770824538.823328,8,4.267208,0.0003,2220.29,115.30
1770824538.934741,9,4.237097,0.0003,2304.40,111.09
1770824539.048088,10,4.284541,0.0003,2264.17,113.07
1770824539.161542,11,4.263883,0.0003,2263.86,113.08
1770824539.274206,12,4.340394,0.0003,2278.25,112.37
1770824539.388945,13,4.277247,0.0003,2237.10,114.43
1770824539.502510,14,4.228774,0.0003,2260.63,113.24
1770824539.615109,15,4.216413,0.0003,2279.54,112.30
1770824539.723880,16,4.243165,0.0003,2360.06,108.47
1770824539.838762,17,4.231726,0.0003,2235.36,114.52
1770824539.952276,18,4.210726,0.0003,2260.66,113.24
1770824540.065680,19,4.228117,0.0003,2263.61,113.09
1770824540.184856,20,4.166941,0.0003,2153.87,118.86
1770824540.298241,21,4.194071,0.0003,2263.96,113.08
1770824540.409020,22,4.202462,0.0003,2316.47,110.51
1770824540.525930,23,4.261553,0.0003,2195.88,116.58
1770824540.638932,24,4.144499,0.0003,2271.54,112.70
1770824540.749127,25,4.187839,0.0003,2329.22,109.91
1770824540.864620,26,4.207467,0.0003,2223.54,115.13
1770824540.976002,27,4.230115,0.0003,2304.54,111.08
1770824541.091796,28,4.127520,0.0003,2216.75,115.48
1770824541.201963,29,4.191806,0.0003,2329.54,109.89
1770824541.313816,30,4.189055,0.0003,2294.64,111.56
1770824541.424080,31,4.123714,0.0003,2328.11,109.96
1770824541.537469,32,4.138755,0.0003,2264.05,113.07
1770824541.650983,33,4.181587,0.0003,2260.94,113.23
1770824541.761332,34,4.203388,0.0003,2326.62,110.03
1770824541.879468,35,4.171813,0.0003,2172.53,117.83
1770824541.993083,36,4.157982,0.0003,2258.97,113.33
1770824542.106406,37,4.155474,0.0003,2264.84,113.03
1770824542.222812,38,4.170569,0.0003,2205.37,116.08
1770824542.335336,39,4.157800,0.0003,2280.70,112.25
1770824542.447575,40,4.162857,0.0003,2287.09,111.93
1770824542.564378,41,4.120022,0.0003,2198.11,116.46
1770824542.681889,42,4.115004,0.0003,2184.13,117.21
1770824542.796789,43,4.142575,0.0003,2233.31,114.63
1770824542.910854,44,4.160169,0.0003,2249.68,113.79
1770824543.026237,45,4.215074,0.0003,2224.07,115.10
1770824543.140232,46,4.200539,0.0003,2250.77,113.74
1770824543.252723,47,4.157683,0.0003,2281.05,112.23
1770824543.364287,48,4.176261,0.0003,2300.25,111.29
1770824543.477048,49,4.143280,0.0003,2277.56,112.40
1770824543.589861,50,4.188045,0.0003,2275.46,112.50
1770824543.698618,51,4.183201,0.0003,2361.14,108.42
1770824543.812369,52,4.186182,0.0003,2256.16,113.47
1770824543.926045,53,4.177982,0.0003,2257.89,113.38
1770824544.038911,54,4.190855,0.0003,2275.45,112.51
1770824544.156074,55,4.185875,0.0003,2190.79,116.85
1770824544.267443,56,4.160843,0.0003,2307.61,110.94
1770824544.376669,57,4.224398,0.0003,2352.34,108.83
1770824544.489241,58,4.263494,0.0003,2281.07,112.23
1770824544.602516,59,4.189308,0.0003,2268.15,112.87
1770824544.719645,60,4.180260,0.0003,2192.14,116.78
1770824544.835283,61,4.261765,0.0003,2219.80,115.33
1770824544.946591,62,4.151412,0.0003,2305.86,111.02
