ts,step,loss,lr,tokens_per_sec,step_ms
1770824258.560356,1,4.241624,0.0003,1138.16,224.93
1770824258.677911,2,4.305720,0.0003,2186.09,117.10
1770824258.783078,3,4.257989,0.0003,2459.88,104.07
1770824258.884359,4,4.264956,0.0003,2536.91,100.91
1770824259.056109,5,4.292121,0.0003,1494.78,171.26
1770824259.180536,6,4.297578,0.0003,2065.35,123.95
1770824259.320793,7,4.268761,0.0003,1832.57,139.69
1770824259.427524,8,4.298658,0.0003,2406.47,106.38
1770824259.529113,9,4.259999,0.0003,2528.04,101.26
1770824259.639301,10,4.312719,0.0003,2332.55,109.75
1770824259.752451,11,4.318316,0.0003,2272.14,112.67
1770824259.877224,12,4.375165,0.0003,2060.84,124.22
1770824259.977735,13,4.319513,0.0003,2556.22,100.15
1770824260.080030,14,4.268339,0.0003,2512.49,101.89
1770824260.178186,15,4.247960,0.0003,2618.79,97.76
1770824260.277821,16,4.303951,0.0003,2577.60,99.32
1770824260.385377,17,4.312891,0.0003,2388.58,107.18
1770824260.492462,18,4.261527,0.0003,2401.05,106.62
1770824260.620033,19,4.276996,0.0003,2012.43,127.21
1770824260.750794,20,4.231132,0.0003,1964.29,130.33
1770824260.862742,21,4.252510,0.0003,2300.03,111.30
1770824260.976640,22,4.283289,0.0003,2267.59,112.90
1770824261.088096,23,4.323750,0.0003,2304.75,111.08
1770824261.193687,24,4.229829,0.0003,2431.89,105.27
1770824261.308820,25,4.240111,0.0003,2230.19,114.79
1770824261.446791,26,4.268887,0.0003,1861.28,137.54
1770824261.614247,27,4.294693,0.0003,1533.94,166.89
1770824261.741151,28,4.195113,0.0003,2026.58,126.32
1770824261.853110,29,4.253686,0.0003,2296.60,111.47
1770824261.968275,30,4.264520,0.0003,2230.94,114.75
1770824262.081115,31,4.212791,0.0003,2276.67,112.45
1770824262.192340,32,4.224821,0.0003,2309.55,110.84
1770824262.323948,33,4.242139,0.0003,1951.55,131.18
1770824262.444713,34,4.238094,0.0003,2132.64,120.04
1770824262.574611,35,4.230724,0.0003,1978.38,129.40
1770824262.713124,36,4.219863,0.0003,1854.87,138.01
1770824262.839677,37,4.217841,0.0003,2029.99,126.11
1770824262.964811,38,4.234287,0.0003,2067.75,123.81
1770824263.064508,39,4.214187,0.0003,2578.83,99.27
1770824263.170391,40,4.213596,0.0003,2425.10,105.56
1770824263.280039,41,4.169021,0.0003,2342.50,109.28
1770824263.395212,42,4.173063,0.0003,2236.55,114.46
1770824263.511773,43,4.163844,0.0003,2205.07,116.10
1770824263.648391,44,4.188741,0.0003,1881.23,136.08
1770824263.769412,45,4.233271,0.0003,2123.26,120.57
1770824263.875975,46,4.214671,0.0003,2410.73,106.19
1770824263.983354,47,4.168345,0.0003,2391.54,107.04
1770824264.088587,48,4.186831,0.0003,2439.75,104.93
1770824264.198041,49,4.162328,0.0003,2345.65,109.14
1770824264.314086,50,4.191220,0.0003,2213.40,115.66
1770824264.443250,51,4.165126,0.0003,2000.14,127.99
1770824264.568713,52,4.181393,0.0003,2047.34,125.04
1770824264.685046,53,4.174304,0.0003,2208.34,115.92
1770824264.784072,54,4.196597,0.0003,2592.75,98.74
1770824264.892000,55,4.185444,0.0003,2379.65,107.58
1770824265.002114,56,4.139584,0.0003,2332.17,109.77
1770824265.113066,57,4.203576,0.0003,2315.66,110.55
1770824265.223663,58,4.230020,0.0003,2321.91,110.25
1770824265.367330,59,4.145252,0.0003,1785.97,143.34
1770824265.486403,60,4.171330,0.0003,2158.06,118.62
1770824265.594010,61,4.226820,0.0003,2414.07,106.05
1770824265.709113,62,4.137024,0.0003,2231.38,114.73
1770824265.832723,63,4.238032,0.0003,2076.66,123.28
1770824265.937785,64,4.138286,0.0003,2446.58,104.64
1770824266.043966,65,4.188671,0.0003,2420.46,105.77
1770824266.149674,66,4.142451,0.0003,2430.29,105.34
1770824266.255993,67,4.159622,0.0003,2415.76,105.97
1770824266.376371,68,4.158207,0.0003,2132.06,120.07
1770824266.516084,69,4.177808,0.0003,1838.29,139.26
1770824266.667365,70,4.121170,0.0003,1698.45,150.73
1770824266.777864,71,4.157246,0.0003,2329.79,109.88
1770824266.881224,72,4.172234,0.0003,2484.96,103.02
1770824266.987137,73,4.147560,0.0003,2423.83,105.62
1770824267.088936,74,4.163967,0.0003,2522.99,101.47
1770824267.187978,75,4.117809,0.0003,2592.78,98.74
1770824267.291493,76,4.090766,0.0003,2481.50,103.16
1770824267.393853,77,4.106009,0.0003,2508.12,102.07
1770824267.505359,78,4.124551,0.0003,2302.38,111.19
1770824267.616764,79,4.152390,0.0003,2306.16,111.01
1770824267.716522,80,4.126222,0.0003,2579.73,99.24
1770824267.819751,81,4.118936,0.0003,2488.49,102.87
1770824267.926844,82,4.162851,0.0003,2397.88,106.76
1770824268.032808,83,4.157895,0.0003,2425.44,105.55
1770824268.134512,84,4.181285,0.0003,2525.30,101.37
1770824268.233047,85,4.187286,0.0003,2606.00,98.23
1770824268.336013,86,4.117655,0.0003,2494.83,102.61
1770824268.458038,87,4.199973,0.0003,2103.63,121.69
1770824268.559640,88,4.189060,0.0003,2528.14,101.26
1770824268.658663,89,4.249500,0.0003,2596.40,98.60
1770824268.770918,90,4.284993,0.0003,2288.54,111.86
1770824268.870039,91,4.231942,0.0003,2595.40,98.64
1770824268.970085,92,4.174202,0.0003,2569.33,99.64
1770824269.067410,93,4.245917,0.0003,2639.61,96.98
1770824269.164764,94,4.192312,0.0003,2639.50,96.99
1770824269.264931,95,4.224438,0.0003,2564.34,99.83
1770824269.365829,96,4.280138,0.0003,2545.19,100.58
1770824269.468427,97,4.301857,0.0003,2503.55,102.25
1770824269.569018,98,4.294940,0.0003,2553.10,100.27
1770824269.670521,99,4.248136,0.0003,2532.07,101.10
1770824269.771997,100,4.417620,0.0003,2531.75,101.12
