ts,step,loss,lr,tokens_per_sec,step_ms
1770823139.900473,1,4.241624,0.0003,1537.77,166.47
1770823140.035632,2,4.248503,0.0003,1899.93,134.74
1770823140.167600,3,4.109479,0.0003,1952.17,131.14
1770823140.411871,4,4.006917,0.0003,1050.50,243.69
1770823140.605099,5,3.966909,0.0003,1340.14,191.03
1770823140.831400,6,3.922051,0.0003,1158.68,220.94
1770823140.949394,7,3.759183,0.0003,2193.45,116.71
1770823141.068885,8,3.721557,0.0003,2158.14,118.62
1770823141.177752,9,3.571798,0.0003,2386.75,107.26
1770823141.258389,10,3.655148,0.0003,3192.80,80.18
1770823141.325139,11,3.487398,0.0003,3893.70,65.75
1770823141.413376,12,3.686998,0.0003,2924.31,87.54
1770823141.481299,13,3.525849,0.0003,3787.26,67.60
1770823141.535258,14,3.580243,0.0003,4773.61,53.63
1770823141.593226,15,3.606835,0.0003,4441.67,57.64
1770823141.647984,16,3.401804,0.0003,4703.45,54.43
1770823141.704143,17,3.413213,0.0003,4583.04,55.86
1770823141.761469,18,3.532523,0.0003,4491.08,57.00
1770823141.816448,19,3.440109,0.0003,4682.14,54.68
1770823141.867466,20,3.324513,0.0003,5045.71,50.74
1770823141.921282,21,3.320633,0.0003,4783.16,53.52
1770823141.975157,22,3.398693,0.0003,4776.92,53.59
1770823142.031157,23,3.423815,0.0003,4594.24,55.72
1770823142.085925,24,3.300478,0.0003,4696.91,54.50
1770823142.141801,25,3.426604,0.0003,4603.91,55.60
1770823142.191570,26,3.610961,0.0003,5174.86,49.47
1770823142.253838,27,3.464398,0.0003,4134.29,61.92
1770823142.324976,28,3.279486,0.0003,3628.39,70.55
1770823142.386447,29,3.204359,0.0003,4199.14,60.96
1770823142.443655,30,3.332001,0.0003,4500.23,56.89
1770823142.499945,31,3.197069,0.0003,4575.03,55.96
1770823142.554682,32,3.379774,0.0003,4702.86,54.44
1770823142.612170,33,3.445658,0.0003,4476.70,57.18
1770823142.667800,34,3.392569,0.0003,4630.39,55.29
1770823142.722266,35,3.330027,0.0003,4728.47,54.14
1770823142.778686,36,3.394446,0.0003,4563.77,56.09
1770823142.833917,37,3.225463,0.0003,4658.21,54.96
1770823142.891459,38,3.467472,0.0003,4470.07,57.27
1770823142.946516,39,3.465521,0.0003,4673.67,54.77
1770823143.001119,40,3.239635,0.0003,4711.77,54.33
1770823143.058653,41,3.283815,0.0003,4479.92,57.14
1770823143.118233,42,3.212055,0.0003,4317.12,59.30
1770823143.174644,43,3.265539,0.0003,4559.63,56.14
1770823143.229258,44,3.181288,0.0003,4711.42,54.34
1770823143.289955,45,3.230583,0.0003,4236.59,60.43
1770823143.345956,46,3.296906,0.0003,4597.01,55.69
1770823143.401043,47,3.274320,0.0003,4672.57,54.79
1770823143.462278,48,3.144800,0.0003,4199.67,60.96
1770823143.518587,49,3.132753,0.0003,4567.93,56.04
1770823143.571326,50,3.156139,0.0003,4880.09,52.46
1770823143.624424,51,3.218866,0.0003,4848.38,52.80
1770823143.678040,52,3.185146,0.0003,4797.43,53.36
1770823143.734314,53,3.375251,0.0003,4570.28,56.01
1770823143.787298,54,3.403589,0.0003,4855.00,52.73
1770823143.842550,55,3.365799,0.0003,4655.49,54.99
1770823143.892913,56,3.220655,0.0003,5109.16,50.11
1770823143.949450,57,3.474308,0.0003,4548.77,56.28
1770823144.006203,58,3.496479,0.0003,4533.71,56.47
1770823144.061544,59,3.243807,0.0003,4647.27,55.09
1770823144.116582,60,3.265769,0.0003,4678.86,54.71
1770823144.169360,61,3.402700,0.0003,4876.74,52.49
1770823144.224503,62,3.264119,0.0003,4669.40,54.83
1770823144.274091,63,3.382541,0.0003,5195.42,49.27
1770823144.329416,64,3.414036,0.0003,4653.11,55.02
1770823144.388181,65,3.399307,0.0003,4381.48,58.43
1770823144.442826,66,3.297889,0.0003,4709.44,54.36
1770823144.496635,67,3.453532,0.0003,4783.71,53.51
1770823144.552666,68,3.287599,0.0003,4592.57,55.74
1770823144.606999,69,3.406930,0.0003,4733.18,54.09
1770823144.662530,70,3.196659,0.0003,4637.35,55.20
1770823144.717602,71,3.142236,0.0003,4671.96,54.80
1770823144.772640,72,3.587203,0.0003,4674.36,54.77
1770823144.828870,73,3.125991,0.0003,4576.40,55.94
1770823144.885987,74,3.102681,0.0003,4504.44,56.83
1770823144.942347,75,3.471208,0.0003,4569.21,56.03
1770823144.998283,76,3.164880,0.0003,4600.34,55.65
1770823145.051045,77,3.240638,0.0003,4875.81,52.50
1770823145.111061,78,3.039790,0.0003,4284.50,59.75
1770823145.166824,79,3.186756,0.0003,4616.95,55.45
1770823145.249481,80,3.239544,0.0003,3109.25,82.33
1770823145.318726,81,3.481698,0.0003,3763.16,68.03
1770823145.375286,82,3.542039,0.0003,4550.37,56.26
1770823145.431017,83,3.255192,0.0003,4619.44,55.42
1770823145.483205,84,3.409623,0.0003,4938.67,51.84
1770823145.538665,85,3.210435,0.0003,4641.72,55.15
1770823145.589734,86,3.303906,0.0003,5041.54,50.78
1770823145.647292,87,3.287793,0.0003,4469.90,57.27
1770823145.700565,88,3.146450,0.0003,4832.02,52.98
1770823145.756809,89,3.352094,0.0003,4574.78,55.96
1770823145.814831,90,3.214740,0.0003,4435.65,57.71
1770823145.866513,91,3.312964,0.0003,4978.82,51.42
1770823145.922288,92,3.197374,0.0003,4614.61,55.48
1770823145.980219,93,3.318677,0.0003,4442.66,57.62
1770823146.039860,94,3.425213,0.0003,4316.24,59.31
1770823146.093117,95,3.308342,0.0003,4839.29,52.90
1770823146.147215,96,3.218095,0.0003,4762.36,53.75
1770823146.205165,97,3.566273,0.0003,4440.99,57.64
1770823146.263587,98,3.259614,0.0003,4405.13,58.11
1770823146.316237,99,3.181926,0.0003,4886.62,52.39
1770823146.367393,100,3.213964,0.0003,5037.87,50.82
