ts,step,loss,lr,tokens_per_sec,step_ms
1770823396.750015,1,4.241624,0.0003,1294.57,197.75
1770823396.839947,2,4.303450,0.0003,2861.36,89.47
1770823396.926107,3,4.251912,0.0003,2985.60,85.74
1770823397.033871,4,4.253961,0.0003,2383.70,107.40
1770823397.127223,5,4.275321,0.0003,2754.08,92.95
1770823397.210278,6,4.287047,0.0003,3098.71,82.62
1770823397.311951,7,4.230462,0.0003,2530.12,101.18
1770823397.405029,8,4.247180,0.0003,2777.75,92.16
1770823397.492101,9,4.225420,0.0003,2953.12,86.69
1770823397.570719,10,4.269266,0.0003,3272.24,78.23
1770823397.654295,11,4.242953,0.0003,3081.60,83.07
1770823397.740940,12,4.326056,0.0003,2965.99,86.31
1770823397.825688,13,4.227870,0.0003,3030.69,84.47
1770823397.906582,14,4.203227,0.0003,3176.22,80.60
1770823397.991125,15,4.196505,0.0003,3049.43,83.95
1770823398.075211,16,4.213544,0.0003,3054.53,83.81
1770823398.159128,17,4.201716,0.0003,3062.27,83.60
1770823398.241173,18,4.179336,0.0003,3134.25,81.68
1770823398.327100,19,4.192817,0.0003,2990.86,85.59
1770823398.408829,20,4.117028,0.0003,3144.00,81.42
1770823398.490290,21,4.146998,0.0003,3155.11,81.14
1770823398.571980,22,4.166811,0.0003,3145.70,81.38
1770823398.654006,23,4.194126,0.0003,3133.53,81.70
1770823398.736572,24,4.125404,0.0003,3112.62,82.25
1770823398.816654,25,4.142370,0.0003,3212.89,79.68
1770823398.899821,26,4.171792,0.0003,3089.47,82.86
1770823398.985695,27,4.170768,0.0003,2992.32,85.55
1770823399.067225,28,4.075324,0.0003,3152.63,81.20
1770823399.148455,29,4.150187,0.0003,3165.15,80.88
1770823399.234864,30,4.128746,0.0003,2972.91,86.11
1770823399.315788,31,4.097985,0.0003,3175.78,80.61
1770823399.403224,32,4.119212,0.0003,2939.02,87.10
1770823399.495289,33,4.132712,0.0003,2791.54,91.71
1770823399.578595,34,4.153953,0.0003,3083.06,83.03
1770823399.658690,35,4.110502,0.0003,3208.87,79.78
1770823399.745346,36,4.126793,0.0003,2965.54,86.32
1770823399.828627,37,4.083110,0.0003,3086.65,82.94
1770823399.912896,38,4.112783,0.0003,3049.58,83.95
1770823399.994060,39,4.118938,0.0003,3168.24,80.80
1770823400.074663,40,4.081466,0.0003,3191.86,80.20
1770823400.159221,41,4.050010,0.0003,3040.10,84.21
1770823400.239553,42,4.054469,0.0003,3197.84,80.05
1770823400.334837,43,4.073650,0.0003,2697.35,94.91
1770823400.418298,44,4.052998,0.0003,3083.22,83.03
1770823400.506045,45,4.097771,0.0003,2926.88,87.47
1770823400.586678,46,4.086345,0.0003,3186.14,80.35
1770823400.668908,47,4.049242,0.0003,3125.15,81.92
1770823400.752520,48,4.044621,0.0003,3073.60,83.29
1770823400.834257,49,4.041619,0.0003,3143.66,81.43
1770823400.920841,50,4.058882,0.0003,2969.18,86.22
1770823401.005200,51,4.040693,0.0003,3046.02,84.04
1770823401.087685,52,4.052396,0.0003,3113.33,82.23
1770823401.167567,53,4.064750,0.0003,3215.03,79.63
1770823401.253871,54,4.089890,0.0003,2976.01,86.02
1770823401.338781,55,4.072624,0.0003,3034.33,84.37
1770823401.424539,56,4.015581,0.0003,2995.34,85.47
1770823401.511135,57,4.083897,0.0003,2966.74,86.29
1770823401.601640,58,4.127824,0.0003,2837.67,90.21
1770823401.691922,59,4.010792,0.0003,2845.38,89.97
1770823401.781588,60,4.048133,0.0003,2864.95,89.36
