tick,len,raw,comp,ratio
0,6,24,16,1.5
1,6,24,16,1.5
2,6,24,16,1.5
3,6,24,16,1.5
4,6,24,16,1.5
5,6,24,16,1.5
6,6,24,16,1.5
7,6,24,16,1.5
8,6,24,16,1.5
9,6,24,16,1.5
10,6,24,16,1.5
11,6,24,16,1.5
12,6,24,16,1.5
13,6,24,16,1.5
14,6,24,16,1.5
15,6,24,16,1.5
16,6,24,16,1.5
17,6,24,16,1.5
18,6,24,16,1.5
19,6,24,16,1.5
20,6,24,16,1.5
21,6,24,16,1.5
22,6,24,16,1.5
23,6,24,16,1.5
24,6,24,16,1.5
25,6,24,16,1.5
26,6,24,16,1.5
27,6,24,16,1.5
28,6,24,16,1.5
29,6,24,16,1.5
30,6,24,16,1.5
31,6,24,16,1.5
32,6,24,16,1.5
33,6,24,16,1.5
34,6,24,16,1.5
35,6,24,16,1.5
36,6,24,16,1.5
37,6,24,16,1.5
38,6,24,16,1.5
39,6,24,16,1.5
40,6,24,16,1.5
41,6,24,16,1.5
42,6,24,16,1.5
43,6,24,16,1.5
44,6,24,16,1.5
45,6,24,16,1.5
46,6,24,16,1.5
47,6,24,16,1.5
48,6,24,16,1.5
49,6,24,16,1.5
50,6,24,16,1.5
51,6,24,16,1.5
52,6,24,16,1.5
53,6,24,16,1.5
54,6,24,16,1.5
55,6,24,16,1.5
56,6,24,16,1.5
57,6,24,16,1.5
58,6,24,16,1.5
59,6,24,16,1.5
60,6,24,16,1.5
61,6,24,16,1.5
62,6,24,16,1.5
63,6,24,16,1.5
64,6,24,16,1.5
65,6,24,16,1.5
66,6,24,16,1.5
67,6,24,16,1.5
68,6,24,16,1.5
69,6,24,16,1.5
70,6,24,16,1.5
71,6,24,16,1.5
72,6,24,16,1.5
73,6,24,16,1.5
74,6,24,16,1.5
75,6,24,16,1.5
76,6,24,16,1.5
77,6,24,16,1.5
78,6,24,16,1.5
79,6,24,16,1.5
80,6,24,16,1.5
81,6,24,16,1.5
82,6,24,16,1.5
83,6,24,16,1.5
84,6,24,16,1.5
85,6,24,16,1.5
86,6,24,16,1.5
87,6,24,16,1.5
88,6,24,16,1.5
89,6,24,16,1.5
90,6,24,16,1.5
91,6,24,16,1.5
92,6,24,16,1.5
93,6,24,16,1.5
94,6,24,16,1.5
95,6,24,16,1.5
96,6,24,16,1.5
97,6,24,16,1.5
98,6,24,16,1.5
99,6,24,16,1.5
100,6,24,16,1.5
101,6,24,16,1.5
102,6,24,16,1.5
103,6,24,16,1.5
104,6,24,16,1.5
105,6,24,16,1.5
106,6,24,16,1.5
107,6,24,16,1.5
108,6,24,16,1.5
109,6,24,16,1.5
110,6,24,16,1.5
111,6,24,16,1.5
112,6,24,16,1.5
113,6,24,16,1.5
114,6,24,16,1.5
115,6,24,16,1.5
116,6,24,16,1.5
117,6,24,16,1.5
118,6,24,16,1.5
119,6,24,16,1.5
120,6,24,16,1.5
121,6,24,16,1.5
122,6,24,16,1.5
123,6,24,16,1.5
124,6,24,16,1.5
125,6,24,16,1.5
126,6,24,16,1.5
127,6,24,16,1.5
128,6,24,16,1.5
129,6,24,16,1.5
130,6,24,16,1.5
131,6,24,16,1.5
132,6,24,16,1.5
133,6,24,16,1.5
134,6,24,16,1.5
135,6,24,16,1.5
136,6,24,16,1.5
137,6,24,16,1.5
138,6,24,16,1.5
139,6,24,16,1.5
140,6,24,16,1.5
141,6,24,16,1.5
142,6,24,16,1.5
143,6,24,16,1.5
144,6,24,16,1.5
145,6,24,16,1.5
146,6,24,16,1.5
147,6,24,16,1.5
148,6,24,16,1.5
149,6,24,16,1.5
150,6,24,16,1.5
151,6,24,16,1.5
152,6,24,16,1.5
153,6,24,16,1.5
154,6,24,16,1.5
155,6,24,16,1.5
156,6,24,16,1.5
157,6,24,16,1.5
158,6,24,16,1.5
159,6,24,16,1.5
160,6,24,16,1.5
161,6,24,16,1.5
162,6,24,16,1.5
163,6,24,16,1.5
164,6,24,16,1.5
165,6,24,16,1.5
166,6,24,16,1.5
167,6,24,16,1.5
168,6,24,16,1.5
169,6,24,16,1.5
170,6,24,16,1.5
171,6,24,16,1.5
172,6,24,16,1.5
173,6,24,16,1.5
174,6,24,16,1.5
175,6,24,16,1.5
176,6,24,16,1.5
177,6,24,16,1.5
178,6,24,16,1.5
179,6,24,16,1.5
180,6,24,16,1.5
181,6,24,16,1.5
182,6,24,16,1.5
183,6,24,16,1.5
184,6,24,16,1.5
185,6,24,16,1.5
186,6,24,16,1.5
187,6,24,16,1.5
188,6,24,16,1.5
189,6,24,16,1.5
190,6,24,16,1.5
191,6,24,16,1.5
192,6,24,16,1.5
193,6,24,16,1.5
194,6,24,16,1.5
195,6,24,16,1.5
196,6,24,16,1.5
197,6,24,16,1.5
198,6,24,16,1.5
199,6,24,16,1.5
200,6,24,16,1.5
201,6,24,16,1.5
202,6,24,16,1.5
203,6,24,16,1.5
204,6,24,16,1.5
205,6,24,16,1.5
206,6,24,16,1.5
207,6,24,16,1.5
208,6,24,16,1.5
209,6,24,16,1.5
210,6,24,16,1.5
211,6,24,16,1.5
212,6,24,16,1.5
213,6,24,16,1.5
214,6,24,16,1.5
215,6,24,16,1.5
216,6,24,16,1.5
217,6,24,16,1.5
218,6,24,16,1.5
219,6,24,16,1.5
220,6,24,16,1.5
221,6,24,16,1.5
222,6,24,16,1.5
223,6,24,16,1.5
224,6,24,16,1.5
225,6,24,16,1.5
226,6,24,16,1.5
227,6,24,16,1.5
228,6,24,16,1.5
229,6,24,16,1.5
230,6,24,16,1.5
231,6,24,16,1.5
232,6,24,16,1.5
233,6,24,16,1.5
234,6,24,16,1.5
235,6,24,16,1.5
236,6,24,16,1.5
237,6,24,16,1.5
238,6,24,16,1.5
239,6,24,16,1.5
240,6,24,16,1.5
241,6,24,16,1.5
242,6,24,16,1.5
243,6,24,16,1.5
244,6,24,16,1.5
245,6,24,16,1.5
246,6,24,16,1.5
247,6,24,16,1.5
248,6,24,16,1.5
249,6,24,16,1.5
250,6,24,16,1.5
251,6,24,16,1.5
252,6,24,16,1.5
253,6,24,16,1.5
254,6,24,16,1.5
255,6,24,16,1.5
256,6,24,16,1.5
257,6,24,16,1.5
258,6,24,16,1.5
259,6,24,16,1.5
260,6,24,16,1.5
261,6,24,16,1.5
262,6,24,16,1.5
263,6,24,16,1.5
264,6,24,16,1.5
265,6,24,16,1.5
266,6,24,16,1.5
267,6,24,16,1.5
268,6,24,16,1.5
269,6,24,16,1.5
270,6,24,16,1.5
271,6,24,16,1.5
272,6,24,16,1.5
273,6,24,16,1.5
274,6,24,16,1.5
275,6,24,16,1.5
276,6,24,16,1.5
277,6,24,16,1.5
278,6,24,16,1.5
279,6,24,16,1.5
280,6,24,16,1.5
281,6,24,16,1.5
282,6,24,16,1.5
283,6,24,16,1.5
284,6,24,16,1.5
285,6,24,16,1.5
286,6,24,16,1.5
287,6,24,16,1.5
288,6,24,16,1.5
289,6,24,16,1.5
290,6,24,16,1.5
291,6,24,16,1.5
292,6,24,16,1.5
293,6,24,16,1.5
294,6,24,16,1.5
295,6,24,16,1.5
296,6,24,16,1.5
297,6,24,16,1.5
298,6,24,16,1.5
299,6,24,16,1.5
300,6,24,16,1.5
301,6,24,16,1.5
302,6,24,16,1.5
303,6,24,16,1.5
304,6,24,16,1.5
305,6,24,16,1.5
306,6,24,16,1.5
307,6,24,16,1.5
308,6,24,16,1.5
309,6,24,16,1.5
310,6,24,16,1.5
311,6,24,16,1.5
312,6,24,16,1.5
313,6,24,16,1.5
314,6,24,16,1.5
315,6,24,16,1.5
316,6,24,16,1.5
317,6,24,16,1.5
318,6,24,16,1.5
319,6,24,16,1.5
320,6,24,16,1.5
321,6,24,16,1.5
322,6,24,16,1.5
323,6,24,16,1.5
324,6,24,16,1.5
325,6,24,16,1.5
326,6,24,16,1.5
327,6,24,16,1.5
328,6,24,16,1.5
329,6,24,16,1.5
330,6,24,16,1.5
331,6,24,16,1.5
332,6,24,16,1.5
333,6,24,16,1.5
334,6,24,16,1.5
335,6,24,16,1.5
336,6,24,16,1.5
337,6,24,16,1.5
338,6,24,16,1.5
339,6,24,16,1.5
340,6,24,16,1.5
341,6,24,16,1.5
342,6,24,16,1.5
343,6,24,16,1.5
344,6,24,16,1.5
345,6,24,16,1.5
346,6,24,16,1.5
347,6,24,16,1.5
348,6,24,16,1.5
349,6,24,16,1.5
350,6,24,16,1.5
351,6,24,16,1.5
352,6,24,16,1.5
353,6,24,16,1.5
354,6,24,16,1.5
355,6,24,16,1.5
356,6,24,16,1.5
357,6,24,16,1.5
358,6,24,16,1.5
359,6,24,16,1.5
360,6,24,16,1.5
361,6,24,16,1.5
362,6,24,16,1.5
363,6,24,16,1.5
364,6,24,16,1.5
365,6,24,16,1.5
366,6,24,16,1.5
367,6,24,16,1.5
368,6,24,16,1.5
369,6,24,16,1.5
370,6,24,16,1.5
371,6,24,16,1.5
372,6,24,16,1.5
373,6,24,16,1.5
374,6,24,16,1.5
375,6,24,16,1.5
376,6,24,16,1.5
377,6,24,16,1.5
378,6,24,16,1.5
379,6,24,16,1.5
380,6,24,16,1.5
381,6,24,16,1.5
382,6,24,16,1.5
383,6,24,16,1.5
384,6,24,16,1.5
385,6,24,16,1.5
386,6,24,16,1.5
387,6,24,16,1.5
388,6,24,16,1.5
389,6,24,16,1.5
390,6,24,16,1.5
391,6,24,16,1.5
392,6,24,16,1.5
393,6,24,16,1.5
394,6,24,16,1.5
395,6,24,16,1.5
396,6,24,16,1.5
397,6,24,16,1.5
398,6,24,16,1.5
399,6,24,16,1.5
400,6,24,16,1.5
401,6,24,16,1.5
402,6,24,16,1.5
403,6,24,16,1.5
404,6,24,16,1.5
405,6,24,16,1.5
406,6,24,16,1.5
407,6,24,16,1.5
408,6,24,16,1.5
409,6,24,16,1.5
410,6,24,16,1.5
411,6,24,16,1.5
412,6,24,16,1.5
413,6,24,16,1.5
414,6,24,16,1.5
415,6,24,16,1.5
416,6,24,16,1.5
417,6,24,16,1.5
418,6,24,16,1.5
419,6,24,16,1.5
420,6,24,16,1.5
421,6,24,16,1.5
422,6,24,16,1.5
423,6,24,16,1.5
424,6,24,16,1.5
425,6,24,16,1.5
426,6,24,16,1.5
427,6,24,16,1.5
428,6,24,16,1.5
429,6,24,16,1.5
430,6,24,16,1.5
431,6,24,16,1.5
432,6,24,16,1.5
433,6,24,16,1.5
434,6,24,16,1.5
435,6,24,16,1.5
436,6,24,16,1.5
437,6,24,16,1.5
438,6,24,16,1.5
439,6,24,16,1.5
440,6,24,16,1.5
441,6,24,16,1.5
442,6,24,16,1.5
443,6,24,16,1.5
444,6,24,16,1.5
445,6,24,16,1.5
446,6,24,16,1.5
447,6,24,16,1.5
448,6,24,16,1.5
449,6,24,16,1.5
450,6,24,16,1.5
451,6,24,16,1.5
452,6,24,16,1.5
453,6,24,16,1.5
454,6,24,16,1.5
455,6,24,16,1.5
456,6,24,16,1.5
457,6,24,16,1.5
